Dated,Node
19/08/2021 1:13:17 PM,2329
19/08/2021 1:15:10 PM,2329
19/08/2021 1:15:33 PM,4082
19/08/2021 1:16:42 PM,2417
19/08/2021 2:01:31 PM,4082
19/08/2021 2:01:40 PM,2320
19/08/2021 2:06:37 PM,2320
19/08/2021 2:07:59 PM,2320
19/08/2021 2:29:10 PM,2320
19/08/2021 2:35:03 PM,2329
19/08/2021 2:43:51 PM,2329
19/08/2021 3:02:56 PM,2320
19/08/2021 3:05:00 PM,2320
19/08/2021 3:20:36 PM,2494
19/08/2021 3:21:02 PM,2494
19/08/2021 3:22:26 PM,2320
19/08/2021 3:22:30 PM,2489
19/08/2021 3:22:47 PM,2320
19/08/2021 3:24:59 PM,2329
19/08/2021 5:07:47 PM,2320
19/08/2021 5:11:10 PM,2320
19/08/2021 5:13:43 PM,2320
19/08/2021 5:14:53 PM,2329
19/08/2021 5:22:37 PM,2320
19/08/2021 6:42:38 PM,2329
19/08/2021 6:43:02 PM,2417
19/08/2021 6:45:19 PM,2338
19/08/2021 6:55:36 PM,2329
20/08/2021 9:27:04 AM,4082
20/08/2021 9:27:18 AM,2411
20/08/2021 9:36:51 AM,2417
20/08/2021 9:37:17 AM,2329
20/08/2021 9:37:30 AM,4082
20/08/2021 10:02:17 AM,2329
20/08/2021 10:40:50 AM,2329
20/08/2021 11:11:38 AM,4082
20/08/2021 11:45:13 AM,2320
20/08/2021 11:46:07 AM,2411
20/08/2021 11:49:26 AM,2338
20/08/2021 11:54:13 AM,2338
20/08/2021 11:55:15 AM,2778
20/08/2021 11:56:46 AM,2320
20/08/2021 11:57:10 AM,2778
20/08/2021 11:57:34 AM,2783
20/08/2021 11:58:55 AM,2790
20/08/2021 11:59:18 AM,2320
20/08/2021 12:35:08 PM,228
20/08/2021 2:10:48 PM,2981
20/08/2021 2:13:05 PM,-3
20/08/2021 3:05:12 PM,2411
20/08/2021 3:54:49 PM,2411
20/08/2021 6:57:12 PM,4020
20/08/2021 6:58:00 PM,3095
20/08/2021 6:58:08 PM,4005
20/08/2021 6:58:16 PM,3090
20/08/2021 6:58:31 PM,3090
20/08/2021 6:58:40 PM,3095
20/08/2021 6:58:44 PM,4000
20/08/2021 6:58:47 PM,4005
20/08/2021 6:58:50 PM,4010
20/08/2021 7:09:12 PM,4020
20/08/2021 7:16:27 PM,4020
20/08/2021 7:31:19 PM,4020
20/08/2021 7:42:17 PM,4020
20/08/2021 7:43:31 PM,3085
20/08/2021 7:43:46 PM,4031
20/08/2021 7:43:53 PM,4020
21/08/2021 7:38:54 AM,4043
21/08/2021 7:19:41 PM,204
21/08/2021 7:22:05 PM,466
21/08/2021 7:33:57 PM,2338
21/08/2021 7:35:21 PM,17
21/08/2021 8:13:52 PM,2329
23/08/2021 9:16:22 AM,2338
23/08/2021 9:16:54 AM,2338
23/08/2021 9:17:25 AM,2338
23/08/2021 9:22:55 AM,2338
23/08/2021 9:42:42 AM,2332
23/08/2021 9:42:50 AM,2411
23/08/2021 9:44:32 AM,2748
23/08/2021 9:45:10 AM,2773
23/08/2021 9:48:22 AM,2349
23/08/2021 10:00:56 AM,4082
23/08/2021 2:00:08 PM,2411
24/08/2021 12:22:14 PM,4157
24/08/2021 12:23:08 PM,17
24/08/2021 12:30:43 PM,644
24/08/2021 12:31:48 PM,808
24/08/2021 12:32:00 PM,558
24/08/2021 12:32:36 PM,4020
24/08/2021 12:33:42 PM,3085
24/08/2021 12:33:54 PM,4031
24/08/2021 12:34:00 PM,533
24/08/2021 12:35:14 PM,4020
24/08/2021 12:35:45 PM,4020
24/08/2021 12:36:14 PM,4020
24/08/2021 12:38:15 PM,4020
24/08/2021 12:40:26 PM,4020
24/08/2021 12:43:45 PM,4020
24/08/2021 12:44:56 PM,4020
24/08/2021 2:12:18 PM,2296
24/08/2021 2:14:20 PM,2291
24/08/2021 2:17:12 PM,2338
24/08/2021 3:13:29 PM,1256
24/08/2021 3:19:14 PM,1256
24/08/2021 3:24:51 PM,1256
24/08/2021 3:50:58 PM,1256
24/08/2021 3:54:06 PM,1256
24/08/2021 3:56:46 PM,1256
24/08/2021 7:47:42 PM,1086
24/08/2021 8:32:22 PM,1256
24/08/2021 8:32:26 PM,343
24/08/2021 8:41:04 PM,-3
24/08/2021 8:46:14 PM,319
25/08/2021 2:15:16 PM,610
25/08/2021 2:15:32 PM,1343
25/08/2021 2:15:47 PM,33
25/08/2021 2:16:15 PM,644
25/08/2021 2:16:24 PM,100
25/08/2021 2:16:50 PM,808
25/08/2021 2:17:11 PM,558
25/08/2021 2:21:34 PM,808
25/08/2021 2:23:17 PM,538
25/08/2021 2:23:24 PM,1256
25/08/2021 2:23:48 PM,2
25/08/2021 2:34:10 PM,1256
25/08/2021 2:36:47 PM,813
25/08/2021 3:43:36 PM,808
25/08/2021 3:44:01 PM,54
25/08/2021 3:46:28 PM,54
25/08/2021 3:49:48 PM,610
25/08/2021 3:50:13 PM,54
25/08/2021 3:50:41 PM,-3
25/08/2021 3:50:49 PM,54
25/08/2021 3:50:58 PM,808
25/08/2021 4:03:41 PM,1343
25/08/2021 4:04:31 PM,54
25/08/2021 4:22:40 PM,547
25/08/2021 4:23:39 PM,54
25/08/2021 4:23:46 PM,547
25/08/2021 4:27:37 PM,466
25/08/2021 4:29:12 PM,497
25/08/2021 5:06:28 PM,558
25/08/2021 5:07:25 PM,558
25/08/2021 5:22:39 PM,478
25/08/2021 5:24:21 PM,1256
25/08/2021 5:28:18 PM,-3
25/08/2021 5:28:23 PM,-3
25/08/2021 5:31:31 PM,1081
25/08/2021 5:32:26 PM,1250
25/08/2021 5:33:39 PM,-3
25/08/2021 6:37:33 PM,466
25/08/2021 6:38:34 PM,497
25/08/2021 6:38:57 PM,543
25/08/2021 6:39:05 PM,-3
25/08/2021 6:55:38 PM,204
25/08/2021 6:57:40 PM,204
25/08/2021 6:58:20 PM,17
25/08/2021 7:00:33 PM,204
25/08/2021 7:01:38 PM,4157
25/08/2021 7:15:30 PM,-3
25/08/2021 7:15:38 PM,497
26/08/2021 12:13:37 AM,204
26/08/2021 12:18:01 AM,204
26/08/2021 12:20:42 AM,204
26/08/2021 12:23:00 AM,204
26/08/2021 12:27:06 AM,813
26/08/2021 12:28:43 AM,813
26/08/2021 12:30:22 AM,813
26/08/2021 12:34:11 AM,816
26/08/2021 12:34:37 AM,330
26/08/2021 12:38:18 AM,813
26/08/2021 12:39:25 AM,813
26/08/2021 12:41:49 AM,204
26/08/2021 12:42:13 AM,813
26/08/2021 12:50:14 AM,813
26/08/2021 12:55:40 AM,-3
26/08/2021 9:51:53 AM,1256
26/08/2021 9:51:56 AM,228
26/08/2021 10:00:07 AM,4020
26/08/2021 10:00:24 AM,3085
26/08/2021 10:01:48 AM,4020
26/08/2021 10:02:58 AM,4031
26/08/2021 10:03:09 AM,3085
26/08/2021 10:03:26 AM,4020
26/08/2021 10:03:54 AM,3085
26/08/2021 10:10:37 AM,228
26/08/2021 10:11:29 AM,1250
26/08/2021 10:12:15 AM,538
26/08/2021 10:12:29 AM,1081
26/08/2021 10:25:36 AM,4166
26/08/2021 10:27:42 AM,228
26/08/2021 10:28:46 AM,4157
26/08/2021 10:30:27 AM,4157
26/08/2021 10:30:33 AM,-3
26/08/2021 4:13:04 PM,497
26/08/2021 8:57:51 PM,497
26/08/2021 9:49:52 PM,813
26/08/2021 10:11:45 PM,813
26/08/2021 10:15:55 PM,813
27/08/2021 11:47:19 AM,2790
27/08/2021 11:48:03 AM,2783
27/08/2021 11:49:39 AM,2778
27/08/2021 11:56:07 AM,2338
27/08/2021 11:56:55 AM,2790
27/08/2021 11:57:36 AM,2778
27/08/2021 11:57:47 AM,2338
27/08/2021 12:05:30 PM,2338
27/08/2021 12:06:05 PM,2790
27/08/2021 12:06:30 PM,2338
27/08/2021 12:08:19 PM,2783
27/08/2021 12:08:21 PM,2790
27/08/2021 3:29:47 PM,2778
27/08/2021 5:44:27 PM,2411
27/08/2021 11:50:11 PM,2320
27/08/2021 11:53:13 PM,2338
27/08/2021 11:55:36 PM,2338
27/08/2021 11:56:09 PM,2338
28/08/2021 12:00:05 AM,2338
28/08/2021 12:09:33 AM,2411
28/08/2021 12:15:41 AM,2783
28/08/2021 12:16:09 AM,2790
28/08/2021 12:16:39 AM,2338
28/08/2021 12:19:35 AM,2411
28/08/2021 12:19:57 AM,-3
28/08/2021 12:23:47 AM,2320
28/08/2021 12:27:44 AM,2790
28/08/2021 12:34:28 AM,2411
28/08/2021 12:35:10 AM,2338
28/08/2021 12:37:10 AM,2320
28/08/2021 12:37:52 AM,228
28/08/2021 12:40:36 AM,228
28/08/2021 12:41:32 AM,4082
28/08/2021 12:41:50 AM,2349
28/08/2021 12:41:59 AM,2320
28/08/2021 1:15:00 AM,2489
28/08/2021 1:15:11 AM,2494
28/08/2021 1:26:57 AM,2329
28/08/2021 1:36:56 AM,2329
28/08/2021 1:54:28 AM,2411
28/08/2021 1:54:44 AM,2417
28/08/2021 11:50:07 AM,2411
28/08/2021 12:11:38 PM,610
28/08/2021 12:12:00 PM,33
28/08/2021 12:18:28 PM,54
28/08/2021 12:19:31 PM,54
28/08/2021 12:24:55 PM,33
28/08/2021 12:26:00 PM,610
28/08/2021 12:26:37 PM,33
28/08/2021 12:30:47 PM,228
28/08/2021 12:34:58 PM,228
28/08/2021 12:36:02 PM,204
28/08/2021 12:37:22 PM,17
28/08/2021 12:44:19 PM,33
28/08/2021 12:45:09 PM,28
28/08/2021 12:54:36 PM,119
28/08/2021 12:59:35 PM,109
28/08/2021 12:59:47 PM,207
28/08/2021 1:00:23 PM,605
28/08/2021 1:02:36 PM,605
28/08/2021 1:06:08 PM,769
28/08/2021 1:07:31 PM,207
28/08/2021 1:10:23 PM,427
28/08/2021 1:10:55 PM,83
28/08/2021 1:13:28 PM,427
28/08/2021 1:14:15 PM,100
28/08/2021 1:14:25 PM,33
28/08/2021 1:16:04 PM,288
28/08/2021 1:22:07 PM,427
28/08/2021 1:25:06 PM,165
28/08/2021 1:25:43 PM,330
28/08/2021 1:27:02 PM,543
28/08/2021 1:27:55 PM,543
28/08/2021 1:28:35 PM,543
28/08/2021 1:30:33 PM,544
28/08/2021 1:32:04 PM,204
28/08/2021 1:36:30 PM,639
28/08/2021 1:38:14 PM,165
28/08/2021 1:41:01 PM,182
28/08/2021 1:42:18 PM,466
28/08/2021 1:42:58 PM,665
28/08/2021 1:44:41 PM,775
28/08/2021 1:45:12 PM,775
28/08/2021 1:46:44 PM,258
28/08/2021 1:47:54 PM,475
28/08/2021 2:01:52 PM,466
28/08/2021 2:03:39 PM,466
30/08/2021 9:42:41 AM,808
30/08/2021 9:43:39 AM,808
30/08/2021 9:45:58 AM,808
30/08/2021 3:11:35 PM,2417
30/08/2021 3:16:23 PM,2329
30/08/2021 3:18:45 PM,2329
30/08/2021 3:26:03 PM,2329
30/08/2021 3:29:11 PM,2329
30/08/2021 3:32:36 PM,2329
30/08/2021 4:24:44 PM,2417
30/08/2021 4:25:52 PM,2417
30/08/2021 4:28:49 PM,2291
30/08/2021 4:30:00 PM,2349
30/08/2021 4:30:17 PM,2329
31/08/2021 11:17:38 AM,2329
31/08/2021 11:21:31 AM,2338
31/08/2021 11:24:09 AM,2411
31/08/2021 11:35:13 AM,2338
31/08/2021 11:38:22 AM,2329
31/08/2021 11:44:20 AM,2417
31/08/2021 3:10:15 PM,4020
31/08/2021 3:10:18 PM,3085
31/08/2021 3:13:52 PM,644
31/08/2021 3:14:09 PM,-3
31/08/2021 5:04:36 PM,2338
31/08/2021 5:20:42 PM,2456
31/08/2021 5:20:54 PM,2456
31/08/2021 5:23:18 PM,2329
31/08/2021 5:25:17 PM,2411
31/08/2021 5:27:41 PM,2420
31/08/2021 5:29:45 PM,2338
31/08/2021 5:47:31 PM,2417
31/08/2021 5:48:49 PM,2329
31/08/2021 5:50:23 PM,2411
31/08/2021 6:09:49 PM,2417
31/08/2021 6:40:04 PM,2417
31/08/2021 6:41:16 PM,2329
31/08/2021 6:45:30 PM,2338
31/08/2021 6:45:42 PM,2320
31/08/2021 6:46:19 PM,2320
31/08/2021 6:47:20 PM,2329
31/08/2021 6:49:34 PM,2417
31/08/2021 7:11:28 PM,2420
31/08/2021 8:04:35 PM,2420
31/08/2021 8:10:21 PM,2417
31/08/2021 8:10:52 PM,2329
31/08/2021 8:19:43 PM,2338
31/08/2021 8:23:24 PM,2338
31/08/2021 8:27:00 PM,2411
31/08/2021 8:27:38 PM,2338
31/08/2021 8:28:12 PM,2349
31/08/2021 8:31:06 PM,2411
31/08/2021 8:31:17 PM,2338
31/08/2021 8:32:40 PM,2349
31/08/2021 8:46:36 PM,2420
31/08/2021 9:39:18 PM,2329
31/08/2021 9:50:08 PM,4043
31/08/2021 9:53:06 PM,2417
31/08/2021 9:55:43 PM,2329
31/08/2021 10:11:09 PM,2420
31/08/2021 10:17:15 PM,2405
31/08/2021 10:17:18 PM,2411
31/08/2021 10:21:35 PM,2349
31/08/2021 10:21:42 PM,2329
31/08/2021 10:26:51 PM,2420
31/08/2021 10:39:42 PM,2329
31/08/2021 10:49:11 PM,4043
31/08/2021 10:52:03 PM,2420
31/08/2021 10:55:58 PM,2329
31/08/2021 10:59:45 PM,2420
31/08/2021 11:07:52 PM,2420
01/09/2021 9:52:19 AM,4169
01/09/2021 9:56:38 AM,4169
01/09/2021 10:13:03 AM,443
01/09/2021 10:13:19 AM,443
01/09/2021 10:14:38 AM,665
01/09/2021 10:15:29 AM,2420
01/09/2021 10:23:10 AM,443
01/09/2021 10:23:14 AM,665
01/09/2021 10:25:26 AM,2420
01/09/2021 11:06:14 AM,54
01/09/2021 11:08:14 AM,54
01/09/2021 11:10:29 AM,54
01/09/2021 11:22:14 AM,4043
01/09/2021 11:24:18 AM,2411
01/09/2021 11:24:45 AM,2349
01/09/2021 11:25:23 AM,2411
01/09/2021 11:42:34 AM,33
01/09/2021 11:42:49 AM,-3
01/09/2021 11:43:18 AM,644
01/09/2021 11:43:55 AM,33
01/09/2021 11:45:53 AM,644
01/09/2021 11:52:43 AM,644
01/09/2021 11:52:54 AM,-3
01/09/2021 11:54:36 AM,644
01/09/2021 11:55:28 AM,-3
01/09/2021 12:24:53 PM,4020
01/09/2021 12:26:54 PM,4020
01/09/2021 12:39:57 PM,4020
01/09/2021 5:59:30 PM,228
01/09/2021 6:04:14 PM,4043
01/09/2021 6:40:07 PM,4043
01/09/2021 6:49:16 PM,4043
01/09/2021 7:24:05 PM,4043
01/09/2021 8:00:00 PM,4043
01/09/2021 8:00:21 PM,2417
01/09/2021 8:01:59 PM,2329
01/09/2021 8:13:47 PM,2329
01/09/2021 8:22:50 PM,2329
01/09/2021 8:38:13 PM,2420
01/09/2021 8:39:17 PM,2420
01/09/2021 8:39:33 PM,2338
01/09/2021 8:40:38 PM,2329
01/09/2021 8:45:07 PM,2329
01/09/2021 8:49:24 PM,2349
01/09/2021 8:52:03 PM,4082
02/09/2021 11:55:42 AM,4020
02/09/2021 11:57:22 AM,3085
02/09/2021 11:58:26 AM,4031
02/09/2021 11:58:37 AM,3085
02/09/2021 11:58:49 AM,3085
02/09/2021 1:35:21 PM,2408
02/09/2021 1:35:26 PM,2411
03/09/2021 7:16:18 AM,517
03/09/2021 7:35:02 AM,517
03/09/2021 7:35:10 AM,4110
03/09/2021 7:35:34 AM,54
03/09/2021 7:49:20 AM,54
03/09/2021 7:56:29 AM,64
03/09/2021 7:57:06 AM,54
03/09/2021 7:57:21 AM,64
03/09/2021 9:52:09 AM,4082
03/09/2021 9:52:28 AM,2320
03/09/2021 11:19:49 AM,895
03/09/2021 11:19:52 AM,558
03/09/2021 2:32:12 PM,813
03/09/2021 2:33:00 PM,813
03/09/2021 2:41:30 PM,343
03/09/2021 2:42:26 PM,319
03/09/2021 3:11:47 PM,228
03/09/2021 3:11:57 PM,343
03/09/2021 3:13:43 PM,813
03/09/2021 3:15:22 PM,813
03/09/2021 3:32:11 PM,443
03/09/2021 3:35:39 PM,54
03/09/2021 3:36:01 PM,182
03/09/2021 3:36:34 PM,443
03/09/2021 4:30:23 PM,779
03/09/2021 4:56:13 PM,813
03/09/2021 5:10:33 PM,813
03/09/2021 5:12:40 PM,343
03/09/2021 5:14:10 PM,182
03/09/2021 5:14:36 PM,182
03/09/2021 6:28:49 PM,4169
03/09/2021 6:29:21 PM,2329
03/09/2021 6:36:02 PM,2420
03/09/2021 6:36:34 PM,4169
03/09/2021 6:37:28 PM,4082
03/09/2021 6:42:09 PM,2338
03/09/2021 6:43:09 PM,2329
03/09/2021 6:48:13 PM,2420
03/09/2021 7:01:12 PM,2338
03/09/2021 7:05:47 PM,2338
03/09/2021 7:10:03 PM,2420
03/09/2021 7:15:38 PM,2338
03/09/2021 7:17:53 PM,2338
03/09/2021 7:20:51 PM,2338
03/09/2021 7:25:45 PM,2411
03/09/2021 7:38:28 PM,2411
03/09/2021 7:39:41 PM,2420
03/09/2021 7:49:29 PM,2390
03/09/2021 7:49:59 PM,2411
03/09/2021 7:50:45 PM,4169
03/09/2021 7:50:48 PM,2329
03/09/2021 7:51:15 PM,2338
03/09/2021 7:52:26 PM,2338
03/09/2021 8:06:20 PM,4169
03/09/2021 8:10:26 PM,665
03/09/2021 8:12:48 PM,665
03/09/2021 8:33:41 PM,2411
03/09/2021 8:48:02 PM,2748
03/09/2021 8:51:30 PM,2411
04/09/2021 12:22:54 AM,2420
04/09/2021 3:25:23 PM,228
04/09/2021 7:53:50 PM,665
04/09/2021 7:54:29 PM,2420
04/09/2021 7:56:06 PM,4082
04/09/2021 7:56:24 PM,4169
04/09/2021 7:56:40 PM,665
04/09/2021 7:57:12 PM,2329
04/09/2021 7:57:57 PM,2420
04/09/2021 8:01:15 PM,4082
04/09/2021 8:01:20 PM,2349
04/09/2021 8:01:28 PM,2329
04/09/2021 8:07:10 PM,4169
04/09/2021 8:07:17 PM,2329
04/09/2021 8:07:33 PM,4082
04/09/2021 8:07:48 PM,2329
04/09/2021 8:17:42 PM,4082
04/09/2021 8:17:54 PM,4082
04/09/2021 8:18:01 PM,4082
04/09/2021 8:18:20 PM,2329
04/09/2021 8:18:42 PM,4082
04/09/2021 8:19:02 PM,4082
04/09/2021 8:19:52 PM,4082
04/09/2021 8:20:28 PM,2329
04/09/2021 8:23:23 PM,2349
04/09/2021 8:24:01 PM,2329
04/09/2021 8:24:23 PM,682
04/09/2021 8:24:58 PM,682
04/09/2021 8:28:59 PM,228
04/09/2021 8:29:08 PM,682
04/09/2021 8:29:29 PM,4082
04/09/2021 8:29:37 PM,2349
04/09/2021 8:29:54 PM,4082
04/09/2021 8:30:08 PM,2349
04/09/2021 8:30:56 PM,2
04/09/2021 8:31:19 PM,4169
04/09/2021 8:31:29 PM,2329
04/09/2021 8:31:36 PM,2326
04/09/2021 8:31:40 PM,2349
04/09/2021 8:31:44 PM,2349
04/09/2021 8:31:46 PM,2349
04/09/2021 8:32:08 PM,2411
04/09/2021 8:40:29 PM,2349
04/09/2021 9:53:56 PM,4082
04/09/2021 9:54:01 PM,2329
04/09/2021 9:54:07 PM,4085
04/09/2021 9:54:13 PM,2417
04/09/2021 10:04:05 PM,2349
04/09/2021 10:04:23 PM,2349
04/09/2021 10:04:28 PM,2329
04/09/2021 10:04:59 PM,682
04/09/2021 10:05:18 PM,4169
04/09/2021 10:07:00 PM,4169
04/09/2021 10:07:21 PM,682
04/09/2021 10:07:34 PM,4169
04/09/2021 10:07:55 PM,4082
04/09/2021 10:08:02 PM,4082
04/09/2021 10:08:29 PM,2329
04/09/2021 10:09:32 PM,2349
04/09/2021 10:09:56 PM,4082
04/09/2021 10:10:05 PM,2329
04/09/2021 10:11:46 PM,2329
04/09/2021 10:13:00 PM,2329
04/09/2021 10:27:21 PM,2329
04/09/2021 10:30:27 PM,2329
04/09/2021 10:31:15 PM,4169
04/09/2021 10:31:26 PM,2329
04/09/2021 10:31:48 PM,4169
04/09/2021 10:34:35 PM,4169
04/09/2021 10:35:01 PM,2349
04/09/2021 10:40:20 PM,4082
04/09/2021 10:40:22 PM,2326
04/09/2021 10:40:25 PM,2349
04/09/2021 10:41:27 PM,2329
04/09/2021 10:41:37 PM,2349
04/09/2021 10:42:08 PM,2329
04/09/2021 11:13:40 PM,4082
04/09/2021 11:13:42 PM,2329
05/09/2021 12:25:07 AM,2329
05/09/2021 12:25:14 AM,4169
05/09/2021 12:26:12 AM,4171
05/09/2021 12:31:27 AM,2338
05/09/2021 1:12:30 AM,2291
05/09/2021 1:13:10 AM,2329
05/09/2021 1:13:37 AM,4169
05/09/2021 1:13:44 AM,2329
05/09/2021 1:19:52 AM,4169
05/09/2021 1:19:55 AM,2329
05/09/2021 1:20:10 AM,4169
05/09/2021 1:25:21 AM,4157
05/09/2021 1:25:56 AM,160
